circuit_name,description
hsa04024_ATP2B1-ATP2B2-ATP2B3-ATP2B4_backward,
hsa04024_MAPK8-MAPK9-MAPK10_backward,
hsa04024_CNGB1-CNGA1-CNGA2-CNGA3-CNGA4-CNGB3_backward,
hsa04024_AFDN_backward,
hsa04024_PDE10A-PDE3A-PDE3B-PDE4A-PDE4B-PDE4C-PDE4D_backward,
hsa04024_BAD_backward,
hsa04024_RHOA_backward,
hsa04024_LIPE_backward,
hsa04024_GRIA1-GRIA2-GRIA3-GRIA4_backward,
hsa04024_GRIN3A-GRIN3B-GRIN1-GRIN2A-GRIN2B-GRIN2C-GRIN2D_backward,
hsa04024_ORAI1_backward,
hsa04024_HCN4-HCN2_backward,
hsa04024_AMH_backward,
hsa04024_BDNF_backward,
hsa04024_FOS_backward,
hsa04024_JUN_backward,
hsa04024_GLI1_backward,
hsa04024_PTCH1_backward,
hsa04024_HHIP_backward,
hsa04024_F2R_backward,
hsa04024_ACOX1-ACOX3_backward,
hsa04024_MYL9_backward,
hsa04024_PAK1_backward,
hsa04024_KCNK2_backward,
hsa04024_c-o-m-p-o-u-n-d_backward,
hsa04024_c-o-m-p-o-u-n-d_backward,
hsa04024_c-o-m-p-o-u-n-d_backward,
hsa04022_GATA4-SRF_backward,
hsa04022_MYL9_backward,
hsa04022_ITPR1-ITPR2-ITPR3_backward,
hsa04022_CNGB1-CNGA1_backward,
hsa04022_CACNA1C-CACNA1D-CACNA1F-CACNA1S_backward,
hsa04022_TRPC6_backward,
hsa04022_MEF2B-MEF2A-BORCS8-MEF2B-MEF2C-MEF2D_backward,
hsa04022_ATP2A1-ATP2A2-ATP2A3_backward,
hsa04022_KCNJ8_backward,
hsa04022_MAPK1-MAPK3_backward,
hsa04022_BAD_backward,
hsa04022_CREB3-CREB1-ATF2-ATF6B-CREB3L4-ATF4-CREB3L2-CREB3L3-CREB3L1-CREB5_backward,
hsa04022_VASP_backward,
hsa04022_SLC8A2-SLC8A1-SLC8A3_backward,
hsa04022_ATP1B4-ATP1A1-ATP1A2-ATP1A3-ATP1A4-ATP1B1-ATP1B2-ATP1B3-FXYD2_backward,
hsa04022_ATP2B1-ATP2B2-ATP2B3-ATP2B4_backward,
hsa04022_GTF2I_backward,
hsa04022_MYH6-MYH7_backward,
hsa04022_NPPB_backward,
hsa04022_TRPC6_backward,
hsa04022_PDE2A_backward,
hsa04022_PDE3A-PDE3B_backward,
hsa04022_PPIF-SLC25A4-SLC25A5-SLC25A6-VDAC1-VDAC2-VDAC3-SLC25A31_backward,
hsa04022_c-o-m-p-o-u-n-d_backward,
hsa04022_c-o-m-p-o-u-n-d_backward,
hsa04151_CSF3R-EPOR-GHR-IFNAR1-IFNAR2-IL2RA-IL2RB-IL2RG-IL3RA-IL4R-IL6R-IL7R-PRLR-OSMR-JAK1-JAK2-JAK3_backward,
hsa04151_ITGA11-ITGA6-ITGA1-ITGA2-ITGA2B-ITGA3-ITGA4-ITGA5-ITGA7-ITGA9-ITGAV-ITGA10-ITGA8-ITGB1-ITGB3-ITGB4-ITGB5-ITGB6-ITGB7-ITGB8-PTK2_backward,
hsa04151_CDK2-CDK4-CDK6-CCND1-CCND2-CCND3-CCNE1-CCNE2_backward,
hsa04151_EIF4E-EIF4E1B-EIF4E2_backward,
hsa04151_RPS6_backward,
hsa04151_EIF4B_backward,
hsa04151_MYC_backward,
hsa04151_CDKN1B_backward,
hsa04151_RBL2_backward,
hsa04151_FASLG_backward,
hsa04151_BCL2L11_backward,
hsa04151_BCL2L1_backward,
hsa04151_TP53_backward,
hsa04151_GYS1-GYS2_backward,
hsa04151_CCND1_backward,
hsa04151_PCK1-PCK2_backward,
hsa04151_G6PC1-G6PC2-G6PC3_backward,
hsa04151_NOS3_backward,
hsa04151_CASP9_backward,
hsa04151_MAPK1-MAPK3_backward,
hsa04151_CD19_backward,
hsa04151_BRCA1_backward,
hsa04151_BCL2_backward,
hsa04151_MCL1_backward,
hsa04151_BCL2L1_backward,
hsa04151_MYB_backward,
hsa04151_PRKCA_backward,
hsa04151_PKN3-PKN1-PKN2_backward,
hsa04151_C8orf44-SGK3-SGK2-SGK3-SGK1_backward,
hsa04151_BCL2_backward,
hsa04151_RXRA_backward,
hsa04151_BCL2_backward,
hsa04014_GAB1-GAB2_backward,
hsa04014_PTPN11_backward,
hsa04014_PLD1-PLD2_backward,
hsa04014_PRKCA-PRKCB-PRKCG_backward,
hsa04014_ABL1-ABL2_backward,
hsa04014_BCL2L1_backward,
hsa04014_NFKB1-RELA_backward,
hsa04014_FASLG_backward,
hsa04014_MAPK8-MAPK9-MAPK10_backward,
hsa04014_RAC1-RAC2-RAC3_backward,
hsa04014_PLA2G4B-PLAAT3-PLA2G4E-PLA2G4F-PLA2G2D-PLA2G4D-PLA2G2E-PLA2G2C-PLA2G3-PLA1A-PLA2G1B-PLA2G2A-PLA2G4A-PLA2G5-PLAAT2-PLA2G2F-PLA2G12A-PLA2G6-PLA2G10-PLA2G12B-PLA2G4C-JMJD7-PLA2G4B_backward,
hsa04014_ELK1_backward,
hsa04014_ETS1-ETS2_backward,
hsa04014_RAB5A-RAB5B-RAB5C_backward,
hsa04014_RRAS2-MRAS-HRAS-KRAS-NRAS-RRAS_backward,
hsa04014_RHOA_backward,
hsa04014_AFDN_backward,
